account_name,poker,pkrdac
by12345by123,3.2142 POKER,3.2142 PKRDAC
budweiser123,100.2471 POKER,100.2471 PKRDAC
buyaotaibang,2.5565 POKER,2.5565 PKRDAC
buaabuaabuaa,10576.9783 POKER,10576.9783 PKRDAC
btexexchange,163.4941 POKER,163.4941 PKRDAC
cainiaoeos11,1.5756 POKER,1.5756 PKRDAC
bzxiaowangzi,1679.9910 POKER,1679.9910 PKRDAC
byzantineeos,11.3547 POKER,11.3547 PKRDAC
caoyihang123,20.0240 POKER,20.0240 PKRDAC
carlosbejarm,1.4525 POKER,1.4525 PKRDAC
caowangruixi,2.2470 POKER,2.2470 PKRDAC
candyboxoftp,1900.0000 POKER,1900.0000 PKRDAC
cashcowbull2,17.4616 POKER,17.4616 PKRDAC
carljohson12,406.3003 POKER,406.3003 PKRDAC
capitalcrazy,7100.6845 POKER,7100.6845 PKRDAC
cbhbxsl12345,158.1694 POKER,158.1694 PKRDAC
ccjeostkxqcc,3.7110 POKER,3.7110 PKRDAC
cathy333yong,1203.4252 POKER,1203.4252 PKRDAC
ccccpppp1234,2.5810 POKER,2.5810 PKRDAC
ccllhheosio1,2.0289 POKER,2.0289 PKRDAC
cazjpvcggwt2,15.4167 POKER,15.4167 PKRDAC
ccttkk112233,6.0827 POKER,6.0827 PKRDAC
centcentcent,1.5360 POKER,1.5360 PKRDAC
cesarscrypto,9.2155 POKER,9.2155 PKRDAC
ccliya112233,1.3140 POKER,1.3140 PKRDAC
chainceout11,728.7284 POKER,728.7284 PKRDAC
changhehiter,10.3736 POKER,10.3736 PKRDAC
chairpersons,2.0312 POKER,2.0312 PKRDAC
chainceoneos,602.3123 POKER,602.3123 PKRDAC
chain32token,3.5002 POKER,3.5002 PKRDAC
champion2211,434.2355 POKER,434.2355 PKRDAC
chaoyue12345,2.6432 POKER,2.6432 PKRDAC
chenaizhen35,5.2749 POKER,5.2749 PKRDAC
channeleosqb,7.8750 POKER,7.8750 PKRDAC
chendachenda,1.2020 POKER,1.2020 PKRDAC
charleston24,2.3007 POKER,2.3007 PKRDAC
cheekebreeke,83.8181 POKER,83.8181 PKRDAC
chen52jiajin,1.1335 POKER,1.1335 PKRDAC
changyuhang2,47.9230 POKER,47.9230 PKRDAC
chengxueyu11,206.2954 POKER,206.2954 PKRDAC
chenjiada254,10.0602 POKER,10.0602 PKRDAC
chenda111111,1.1033 POKER,1.1033 PKRDAC
checheche123,1.0000 POKER,1.0000 PKRDAC
chenglizhi33,5.8750 POKER,5.8750 PKRDAC
chensspgyjrh,24.3931 POKER,24.3931 PKRDAC
chenshengbin,3.5584 POKER,3.5584 PKRDAC
changeyu4444,17.6857 POKER,17.6857 PKRDAC
chenpeng2222,1.1972 POKER,1.1972 PKRDAC
chenxiao2222,2.4400 POKER,2.4400 PKRDAC
chenglizhi55,3.5312 POKER,3.5312 PKRDAC
chengwei2222,1.0248 POKER,1.0248 PKRDAC
chenshiqiang,7.8382 POKER,7.8382 PKRDAC
chenyuchenyu,1.0555 POKER,1.0555 PKRDAC
chenyubin123,2.1563 POKER,2.1563 PKRDAC
chenwen12333,1.8682 POKER,1.8682 PKRDAC
chinamhb1111,1.1754 POKER,1.1754 PKRDAC
china2333333,3559.0520 POKER,3559.0520 PKRDAC
chevroneosio,5.5304 POKER,5.5304 PKRDAC
chinaeosclub,6.6011 POKER,6.6011 PKRDAC
chinabankchw,5.2413 POKER,5.2413 PKRDAC
chinese55555,2.9561 POKER,2.9561 PKRDAC
chooyongyeon,1.8650 POKER,1.8650 PKRDAC
chinaeosno11,1.0000 POKER,1.0000 PKRDAC
chezedude123,26487.6185 POKER,26487.6185 PKRDAC
chonnomvv123,51.6253 POKER,51.6253 PKRDAC
chuchu121212,1.2773 POKER,1.2773 PKRDAC
chldnsqhddle,5.1896 POKER,5.1896 PKRDAC
christophero,1.0260 POKER,1.0260 PKRDAC
chuck.x,3252.5266 POKER,3252.5266 PKRDAC
chuanshanyii,16.7855 POKER,16.7855 PKRDAC
cigeos123321,2.3510 POKER,2.3510 PKRDAC
cmoltisanti1,1.6392 POKER,1.6392 PKRDAC
cnywaterfall,17.2074 POKER,17.2074 PKRDAC
coinerweber1,148.8369 POKER,148.8369 PKRDAC
coinbadebank,1.0014 POKER,1.0014 PKRDAC
copyrightram,1.0000 POKER,1.0000 PKRDAC
comunidadeos,1.5679 POKER,1.5679 PKRDAC
consensyseos,1.8799 POKER,1.8799 PKRDAC
columbusohio,230.3671 POKER,230.3671 PKRDAC
connorelvis1,201.7772 POKER,201.7772 PKRDAC
