account_name,eosdac,pkrdac
gezdknzzgige,305.5658 EOSDAC,0.6143 PKRDAC
gezdmmrrgage,7351.1468 EOSDAC,14.7777 PKRDAC
gezdmnrvgqge,400.3318 EOSDAC,0.8048 PKRDAC
gezdmobyguge,6195.0942 EOSDAC,12.4538 PKRDAC
gezdqmbsgige,227.7800 EOSDAC,0.4579 PKRDAC
gezdqnrxgqge,1050.5000 EOSDAC,2.1118 PKRDAC
geztamjqg4ge,21142.5212 EOSDAC,42.5020 PKRDAC
geztamrxgene,2461.9692 EOSDAC,4.9492 PKRDAC
geztcmjxgyge,4335.9548 EOSDAC,8.7164 PKRDAC
geztsnbrhage,10000.0000 EOSDAC,20.1026 PKRDAC
